tahun,gk,provinsi,jenis,daerah,periode,tahun_kategori,cluster
2015.0,96344.0,ACEH,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2015-2016,1
2016.0,98155.0,ACEH,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2016-2017,1
2016.0,101217.0,ACEH,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2016-2017,1
2017.0,127858.0,ACEH,NONMAKANAN,PERKOTAAN,MARET,2017-2018,1
2017.0,132061.0,ACEH,NONMAKANAN,PERKOTAAN,SEPTEMBER,2017-2018,1
2018.0,134561.0,ACEH,NONMAKANAN,PERKOTAAN,MARET,2018-2019,1
2018.0,136434.0,ACEH,NONMAKANAN,PERKOTAAN,SEPTEMBER,2018-2019,1
2017.0,94463.0,ACEH,NONMAKANAN,PERDESAAN,MARET,2017-2018,1
2017.0,96799.00000000003,ACEH,NONMAKANAN,PERDESAAN,SEPTEMBER,2017-2018,1
2018.0,100825.0,ACEH,NONMAKANAN,PERDESAAN,MARET,2018-2019,1
2018.0,104778.0,ACEH,NONMAKANAN,PERDESAAN,SEPTEMBER,2018-2019,1
2017.0,104496.00000000003,ACEH,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2017-2018,1
2017.0,107572.0,ACEH,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2017-2018,1
2018.0,111335.0,ACEH,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2018-2019,1
2018.0,114830.0,ACEH,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2018-2019,1
2019.0,137577.00000000003,ACEH,NONMAKANAN,PERKOTAAN,MARET,2019-2020,1
2019.0,140281.0,ACEH,NONMAKANAN,PERKOTAAN,SEPTEMBER,2019-2020,1
2020.0,143425.0,ACEH,NONMAKANAN,PERKOTAAN,MARET,2020-2021,1
2020.0,144182.0,ACEH,NONMAKANAN,PERKOTAAN,SEPTEMBER,2020-2021,1
2019.0,106943.0,ACEH,NONMAKANAN,PERDESAAN,MARET,2019-2020,1
2019.0,110248.0,ACEH,NONMAKANAN,PERDESAAN,SEPTEMBER,2019-2020,1
2020.0,116270.0,ACEH,NONMAKANAN,PERDESAAN,MARET,2020-2021,1
2020.0,116847.0,ACEH,NONMAKANAN,PERDESAAN,SEPTEMBER,2020-2021,1
2019.0,116842.0,ACEH,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2019-2020,1
2019.0,120033.0,ACEH,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2019-2020,1
2020.0,125093.0,ACEH,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2020-2021,1
2020.0,125892.0,ACEH,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2020-2021,1
2021.0,147729.0,ACEH,NONMAKANAN,PERKOTAAN,MARET,2021-2022,1
2021.0,151144.0,ACEH,NONMAKANAN,PERKOTAAN,SEPTEMBER,2021-2022,1
2022.0,157867.0,ACEH,NONMAKANAN,PERKOTAAN,MARET,,1
2022.0,164956.0,ACEH,NONMAKANAN,PERKOTAAN,SEPTEMBER,,1
2021.0,122118.0,ACEH,NONMAKANAN,PERDESAAN,MARET,2021-2022,1
2021.0,126262.0,ACEH,NONMAKANAN,PERDESAAN,SEPTEMBER,2021-2022,1
2022.0,131658.0,ACEH,NONMAKANAN,PERDESAAN,MARET,,1
2022.0,140763.0,ACEH,NONMAKANAN,PERDESAAN,SEPTEMBER,,1
2021.0,130689.0,ACEH,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2021-2022,1
2021.0,134643.0,ACEH,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2021-2022,1
2022.0,140570.0,ACEH,NONMAKANAN,PERDESAANPERKOTAAN,MARET,,1
2022.0,149038.0,ACEH,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,,1
2013.0,359217.0,ACEH,TOTAL,PERKOTAAN,MARET,2013-2014,2
2013.0,374261.0,ACEH,TOTAL,PERKOTAAN,SEPTEMBER,2013-2014,2
2014.0,383186.0,ACEH,TOTAL,PERKOTAAN,MARET,2014-2015,2
2014.0,396939.0,ACEH,TOTAL,PERKOTAAN,SEPTEMBER,2014-2015,2
2013.0,319416.0,ACEH,TOTAL,PERDESAAN,MARET,2013-2014,2
2013.0,337962.0,ACEH,TOTAL,PERDESAAN,SEPTEMBER,2013-2014,2
2014.0,350204.0,ACEH,TOTAL,PERDESAAN,MARET,2014-2015,2
2014.0,369232.0,ACEH,TOTAL,PERDESAAN,SEPTEMBER,2014-2015,2
2013.0,313294.0,ACEH,TOTAL,PERDESAANPERKOTAAN,MARET,2013-2014,2
2013.0,313294.0,ACEH,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2013-2014,2
2014.0,313294.0,ACEH,TOTAL,PERDESAANPERKOTAAN,MARET,2014-2015,2
2014.0,313294.0,ACEH,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2014-2015,2
2015.0,410414.0,ACEH,TOTAL,PERKOTAAN,MARET,2015-2016,2
2015.0,420324.0,ACEH,TOTAL,PERKOTAAN,SEPTEMBER,2015-2016,2
2016.0,427970.0,ACEH,TOTAL,PERKOTAAN,MARET,2016-2017,2
2016.0,445488.0,ACEH,TOTAL,PERKOTAAN,SEPTEMBER,2016-2017,2
2015.0,382117.0,ACEH,TOTAL,PERDESAAN,MARET,2015-2016,2
2015.0,394419.0,ACEH,TOTAL,PERDESAAN,SEPTEMBER,2015-2016,2
2016.0,403985.0,ACEH,TOTAL,PERDESAAN,MARET,2016-2017,2
2016.0,415826.0,ACEH,TOTAL,PERDESAAN,SEPTEMBER,2016-2017,2
2015.0,390150.0,ACEH,TOTAL,PERDESAANPERKOTAAN,MARET,2015-2016,2
2015.0,401772.0,ACEH,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2015-2016,2
2016.0,410956.0,ACEH,TOTAL,PERDESAANPERKOTAAN,MARET,2016-2017,2
2016.0,424765.0,ACEH,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2016-2017,2
2017.0,458011.0,ACEH,TOTAL,PERKOTAAN,MARET,2017-2018,2
2017.0,479872.0,ACEH,TOTAL,PERKOTAAN,SEPTEMBER,2017-2018,2
2018.0,486338.0,ACEH,TOTAL,PERKOTAAN,MARET,2018-2019,0
2018.0,496752.0,ACEH,TOTAL,PERKOTAAN,SEPTEMBER,2018-2019,0
2017.0,425730.0,ACEH,TOTAL,PERDESAAN,MARET,2017-2018,2
2017.0,442869.0,ACEH,TOTAL,PERDESAAN,SEPTEMBER,2017-2018,2
2018.0,454740.0,ACEH,TOTAL,PERDESAAN,MARET,2018-2019,0
2018.0,467242.0,ACEH,TOTAL,PERDESAAN,SEPTEMBER,2018-2019,0
2017.0,435454.0,ACEH,TOTAL,PERDESAANPERKOTAAN,MARET,2017-2018,2
2017.0,454124.0,ACEH,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2017-2018,2
2018.0,464626.0,ACEH,TOTAL,PERDESAANPERKOTAAN,MARET,2018-2019,0
2018.0,476665.0,ACEH,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2018-2019,0
2019.0,501617.0,ACEH,TOTAL,PERKOTAAN,MARET,2019-2020,0
2019.0,517900.0,ACEH,TOTAL,PERKOTAAN,SEPTEMBER,2019-2020,0
2020.0,541451.0,ACEH,TOTAL,PERKOTAAN,MARET,2020-2021,0
2020.0,543685.0,ACEH,TOTAL,PERKOTAAN,SEPTEMBER,2020-2021,0
2019.0,479569.0,ACEH,TOTAL,PERDESAAN,MARET,2019-2020,0
2019.0,497615.0,ACEH,TOTAL,PERDESAAN,SEPTEMBER,2019-2020,0
2020.0,512886.0,ACEH,TOTAL,PERDESAAN,MARET,2020-2021,0
2020.0,514663.0,ACEH,TOTAL,PERDESAAN,SEPTEMBER,2020-2021,0
2019.0,486935.0,ACEH,TOTAL,PERDESAANPERKOTAAN,MARET,2019-2020,0
2019.0,504414.0,ACEH,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2019-2020,0
2020.0,522125.0,ACEH,TOTAL,PERDESAANPERKOTAAN,MARET,2020-2021,0
2020.0,524208.0,ACEH,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2020-2021,0
2021.0,565776.0,ACEH,TOTAL,PERKOTAAN,MARET,2021-2022,0
2021.0,577270.0,ACEH,TOTAL,PERKOTAAN,SEPTEMBER,2021-2022,0
2022.0,606394.0,ACEH,TOTAL,PERKOTAAN,MARET,,0
2022.0,646232.0,ACEH,TOTAL,PERKOTAAN,SEPTEMBER,,0
2021.0,529035.0,ACEH,TOTAL,PERDESAAN,MARET,2021-2022,0
2021.0,541000.0,ACEH,TOTAL,PERDESAAN,SEPTEMBER,2021-2022,0
2022.0,565762.0,ACEH,TOTAL,PERDESAAN,MARET,,0
2022.0,602900.0,ACEH,TOTAL,PERDESAAN,SEPTEMBER,,0
2021.0,541109.0,ACEH,TOTAL,PERDESAANPERKOTAAN,MARET,2021-2022,0
2021.0,552939.0,ACEH,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2021-2022,0
2022.0,579228.0,ACEH,TOTAL,PERDESAANPERKOTAAN,MARET,,0
2022.0,617293.0,ACEH,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,,0
2015.0,261677.0,SUMATERA UTARA,MAKANAN,PERKOTAAN,MARET,2015-2016,2
2015.0,273271.0,SUMATERA UTARA,MAKANAN,PERKOTAAN,SEPTEMBER,2015-2016,2
2016.0,290096.0,SUMATERA UTARA,MAKANAN,PERKOTAAN,MARET,2016-2017,2
2016.0,302027.0,SUMATERA UTARA,MAKANAN,PERKOTAAN,SEPTEMBER,2016-2017,2
2015.0,266143.0,SUMATERA UTARA,MAKANAN,PERDESAAN,MARET,2015-2016,2
2015.0,284650.0,SUMATERA UTARA,MAKANAN,PERDESAAN,SEPTEMBER,2015-2016,2
2016.0,304942.0,SUMATERA UTARA,MAKANAN,PERDESAAN,MARET,2016-2017,2
2016.0,313234.0,SUMATERA UTARA,MAKANAN,PERDESAAN,SEPTEMBER,2016-2017,2
2015.0,263932.0,SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,MARET,2015-2016,2
2015.0,279015.0,SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2015-2016,2
2016.0,296832.0,SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,MARET,2016-2017,2
2016.0,308037.0,SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2016-2017,2
2017.0,311996.0,SUMATERA UTARA,MAKANAN,PERKOTAAN,MARET,2017-2018,2
2017.0,321688.0,SUMATERA UTARA,MAKANAN,PERKOTAAN,SEPTEMBER,2017-2018,2
2018.0,328225.0,SUMATERA UTARA,MAKANAN,PERKOTAAN,MARET,2018-2019,2
2018.0,345167.0,SUMATERA UTARA,MAKANAN,PERKOTAAN,SEPTEMBER,2018-2019,2
2017.0,316190.0,SUMATERA UTARA,MAKANAN,PERDESAAN,MARET,2017-2018,2
2017.0,322222.0,SUMATERA UTARA,MAKANAN,PERDESAAN,SEPTEMBER,2017-2018,2
2018.0,333843.0,SUMATERA UTARA,MAKANAN,PERDESAAN,MARET,2018-2019,2
2018.0,342317.0,SUMATERA UTARA,MAKANAN,PERDESAAN,SEPTEMBER,2018-2019,2
2017.0,314243.0,SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,MARET,2017-2018,2
2017.0,321967.0,SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2017-2018,2
2018.0,331105.0,SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,MARET,2018-2019,2
2018.0,343740.0,SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2018-2019,2
2019.0,354346.0,SUMATERA UTARA,MAKANAN,PERKOTAAN,MARET,2019-2020,0
2019.0,366831.0,SUMATERA UTARA,MAKANAN,PERKOTAAN,SEPTEMBER,2019-2020,0
2020.0,376919.0,SUMATERA UTARA,MAKANAN,PERKOTAAN,MARET,2020-2021,0
2020.0,378679.0,SUMATERA UTARA,MAKANAN,PERKOTAAN,SEPTEMBER,2020-2021,0
2019.0,348030.0,SUMATERA UTARA,MAKANAN,PERDESAAN,MARET,2019-2020,0
2019.0,367379.0,SUMATERA UTARA,MAKANAN,PERDESAAN,SEPTEMBER,2019-2020,0
2020.0,376656.0,SUMATERA UTARA,MAKANAN,PERDESAAN,MARET,2020-2021,0
2020.0,378550.0,SUMATERA UTARA,MAKANAN,PERDESAAN,SEPTEMBER,2020-2021,0
2019.0,351215.0,SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,MARET,2019-2020,0
2019.0,367105.0,SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2019-2020,0
2020.0,376790.0,SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,MARET,2020-2021,0
2020.0,378617.0,SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2020-2021,0
2021.0,397996.0,SUMATERA UTARA,MAKANAN,PERKOTAAN,MARET,2021-2022,0
2021.0,409313.0,SUMATERA UTARA,MAKANAN,PERKOTAAN,SEPTEMBER,2021-2022,0
2022.0,431588.0,SUMATERA UTARA,MAKANAN,PERKOTAAN,MARET,,0
2022.0,458089.0,SUMATERA UTARA,MAKANAN,PERKOTAAN,SEPTEMBER,,0
2021.0,391979.0,SUMATERA UTARA,MAKANAN,PERDESAAN,MARET,2021-2022,0
2021.0,399971.0,SUMATERA UTARA,MAKANAN,PERDESAAN,SEPTEMBER,2021-2022,0
2022.0,415301.0,SUMATERA UTARA,MAKANAN,PERDESAAN,MARET,,0
2022.0,438098.0,SUMATERA UTARA,MAKANAN,PERDESAAN,SEPTEMBER,,0
2021.0,395104.0,SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,MARET,2021-2022,0
2021.0,404860.0,SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2021-2022,0
2022.0,423760.0,SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,MARET,,0
2022.0,448623.0,SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,,0
2015.0,102643.00000000003,SUMATERA UTARA,NONMAKANAN,PERKOTAAN,MARET,2015-2016,2
2015.0,106626.99999999997,SUMATERA UTARA,NONMAKANAN,PERKOTAAN,SEPTEMBER,2015-2016,2
2016.0,108311.99999999997,SUMATERA UTARA,NONMAKANAN,PERKOTAAN,MARET,2016-2017,1
2016.0,111807.99999999997,SUMATERA UTARA,NONMAKANAN,PERKOTAAN,SEPTEMBER,2016-2017,1
2015.0,65751.99999999997,SUMATERA UTARA,NONMAKANAN,PERDESAAN,MARET,2015-2016,1
2015.0,67987.00000000003,SUMATERA UTARA,NONMAKANAN,PERDESAAN,SEPTEMBER,2015-2016,1
2016.0,72806.0,SUMATERA UTARA,NONMAKANAN,PERDESAAN,MARET,2016-2017,1
2016.0,75473.0,SUMATERA UTARA,NONMAKANAN,PERDESAAN,SEPTEMBER,2016-2017,1
2015.0,84020.99999999997,SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2015-2016,1
2015.0,87123.0,SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2015-2016,1
2016.0,91324.0,SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2016-2017,1
2016.0,93795.0,SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2016-2017,1
2017.0,113696.0,SUMATERA UTARA,NONMAKANAN,PERKOTAAN,MARET,2017-2018,1
2017.0,117206.0,SUMATERA UTARA,NONMAKANAN,PERKOTAAN,SEPTEMBER,2017-2018,1
2018.0,120138.0,SUMATERA UTARA,NONMAKANAN,PERKOTAAN,MARET,2018-2019,1
2018.0,120623.0,SUMATERA UTARA,NONMAKANAN,PERKOTAAN,SEPTEMBER,2018-2019,1
2017.0,79842.0,SUMATERA UTARA,NONMAKANAN,PERDESAAN,MARET,2017-2018,1
2017.0,84935.0,SUMATERA UTARA,NONMAKANAN,PERDESAAN,SEPTEMBER,2017-2018,1
2018.0,87743.0,SUMATERA UTARA,NONMAKANAN,PERDESAAN,MARET,2018-2019,1
2018.0,93173.0,SUMATERA UTARA,NONMAKANAN,PERDESAAN,SEPTEMBER,2018-2019,1
2017.0,97102.0,SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2017-2018,1
2017.0,101729.0,SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2017-2018,1
2018.0,104865.0,SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2018-2019,1
2018.0,107932.0,SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2018-2019,1
2019.0,129321.0,SUMATERA UTARA,NONMAKANAN,PERKOTAAN,MARET,2019-2020,1
2019.0,139706.0,SUMATERA UTARA,NONMAKANAN,PERKOTAAN,SEPTEMBER,2019-2020,1
2020.0,141299.0,SUMATERA UTARA,NONMAKANAN,PERKOTAAN,MARET,2020-2021,1
2020.0,141850.0,SUMATERA UTARA,NONMAKANAN,PERKOTAAN,SEPTEMBER,2020-2021,1
2019.0,97785.0,SUMATERA UTARA,NONMAKANAN,PERDESAAN,MARET,2019-2020,1
2019.0,103166.0,SUMATERA UTARA,NONMAKANAN,PERDESAAN,SEPTEMBER,2019-2020,1
2020.0,108061.0,SUMATERA UTARA,NONMAKANAN,PERDESAAN,MARET,2020-2021,1
2020.0,108091.0,SUMATERA UTARA,NONMAKANAN,PERDESAAN,SEPTEMBER,2020-2021,1
2019.0,114907.0,SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2019-2020,1
2019.0,123015.0,SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2019-2020,1
2020.0,126114.0,SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2020-2021,1
2020.0,126619.0,SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2020-2021,1
2021.0,145089.0,SUMATERA UTARA,NONMAKANAN,PERKOTAAN,MARET,2021-2022,1
2021.0,147124.00000000003,SUMATERA UTARA,NONMAKANAN,PERKOTAAN,SEPTEMBER,2021-2022,1
2022.0,151633.0,SUMATERA UTARA,NONMAKANAN,PERKOTAAN,MARET,,1
2022.0,157137.0,SUMATERA UTARA,NONMAKANAN,PERKOTAAN,SEPTEMBER,,1
2021.0,112706.0,SUMATERA UTARA,NONMAKANAN,PERDESAAN,MARET,2021-2022,1
2021.0,114016.0,SUMATERA UTARA,NONMAKANAN,PERDESAAN,SEPTEMBER,2021-2022,1
2022.0,118883.0,SUMATERA UTARA,NONMAKANAN,PERDESAAN,MARET,,1
2022.0,125685.0,SUMATERA UTARA,NONMAKANAN,PERDESAAN,SEPTEMBER,,1
2021.0,130652.0,SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2021-2022,1
2021.0,132450.99999999997,SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2021-2022,1
2022.0,137244.00000000003,SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,MARET,,1
2022.0,143402.0,SUMATERA UTARA,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,,1
2013.0,307352.0,SUMATERA UTARA,TOTAL,PERKOTAAN,MARET,2013-2014,2
2013.0,330517.0,SUMATERA UTARA,TOTAL,PERKOTAAN,SEPTEMBER,2013-2014,2
2014.0,338234.0,SUMATERA UTARA,TOTAL,PERKOTAAN,MARET,2014-2015,2
2014.0,349372.0,SUMATERA UTARA,TOTAL,PERKOTAAN,SEPTEMBER,2014-2015,2
2013.0,263061.0,SUMATERA UTARA,TOTAL,PERDESAAN,MARET,2013-2014,2
2013.0,292186.0,SUMATERA UTARA,TOTAL,PERDESAAN,SEPTEMBER,2013-2014,2
2014.0,299145.0,SUMATERA UTARA,TOTAL,PERDESAAN,MARET,2014-2015,2
2014.0,312493.0,SUMATERA UTARA,TOTAL,PERDESAAN,SEPTEMBER,2014-2015,2
2013.0,313294.0,SUMATERA UTARA,TOTAL,PERDESAANPERKOTAAN,MARET,2013-2014,2
2013.0,313294.0,SUMATERA UTARA,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2013-2014,2
2014.0,313294.0,SUMATERA UTARA,TOTAL,PERDESAANPERKOTAAN,MARET,2014-2015,2
2014.0,313294.0,SUMATERA UTARA,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2014-2015,2
2015.0,364320.0,SUMATERA UTARA,TOTAL,PERKOTAAN,MARET,2015-2016,2
2015.0,379898.0,SUMATERA UTARA,TOTAL,PERKOTAAN,SEPTEMBER,2015-2016,2
2016.0,398408.0,SUMATERA UTARA,TOTAL,PERKOTAAN,MARET,2016-2017,2
2016.0,413835.0,SUMATERA UTARA,TOTAL,PERKOTAAN,SEPTEMBER,2016-2017,2
2015.0,331895.0,SUMATERA UTARA,TOTAL,PERDESAAN,MARET,2015-2016,2
2015.0,352637.0,SUMATERA UTARA,TOTAL,PERDESAAN,SEPTEMBER,2015-2016,2
2016.0,377748.0,SUMATERA UTARA,TOTAL,PERDESAAN,MARET,2016-2017,2
2016.0,388707.0,SUMATERA UTARA,TOTAL,PERDESAAN,SEPTEMBER,2016-2017,2
2015.0,347953.0,SUMATERA UTARA,TOTAL,PERDESAANPERKOTAAN,MARET,2015-2016,2
2015.0,366138.0,SUMATERA UTARA,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2015-2016,2
2016.0,388156.0,SUMATERA UTARA,TOTAL,PERDESAANPERKOTAAN,MARET,2016-2017,2
2016.0,401832.0,SUMATERA UTARA,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2016-2017,2
2017.0,425693.0,SUMATERA UTARA,TOTAL,PERKOTAAN,MARET,2017-2018,2
2017.0,438894.0,SUMATERA UTARA,TOTAL,PERKOTAAN,SEPTEMBER,2017-2018,2
2018.0,448363.0,SUMATERA UTARA,TOTAL,PERKOTAAN,MARET,2018-2019,0
